Configuration;Iteration;The initial best way;Its distance;The best way after algorithm;Its distance
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP100 PC-2;1;6-3-12-14-4-13-5-8-1-9-2-15-7-11-10-6;111.59;1-3-6-14-10-4-8-11-2-7-15-12-9-5-13-1;91.02
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP100 PC-2;2;9-12-1-13-8-10-5-2-7-4-6-3-14-15-11-9;125.66;5-13-2-4-14-11-9-10-8-1-7-3-6-12-15-5;114.62
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP100 PC-2;3;11-5-13-9-3-2-4-7-15-1-14-8-10-12-6-11;88.33;4-7-12-3-9-15-10-14-2-6-5-1-11-13-8-4;85.45
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP100 PC-2;4;4-1-15-7-11-3-6-2-10-12-13-5-9-8-14-4;110.23;14-4-15-7-11-3-6-2-10-12-13-5-9-8-1-14;96.92
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP100 PC-3;1;9-8-5-10-12-15-3-2-14-4-6-7-11-1-13-9;116.69;14-10-2-13-1-8-9-5-11-6-15-7-3-12-4-14;101.29
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP100 PC-3;2;13-14-10-11-1-8-5-3-9-2-12-4-6-7-15-13;103.36;9-3-2-4-6-10-7-15-12-14-1-11-13-5-8-9;87.61
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP100 PC-3;3;5-7-10-3-6-4-15-12-2-11-9-8-1-14-13-5;109.32;14-5-13-3-6-4-15-12-2-11-9-8-1-7-10-14;99.65
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP100 PC-3;4;13-9-3-7-14-10-4-8-11-6-12-1-15-5-2-13;129.79;9-3-2-14-10-15-4-8-11-6-12-7-5-13-1-9;92.21
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;1;12-2-15-10-7-8-1-5-14-3-13-9-6-4-11-12;120.27;3-2-15-10-7-8-1-5-14-12-6-4-13-9-11-3;112.97
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;2;2-1-8-3-4-5-10-14-15-9-11-13-12-7-6-2;123.15;4-1-5-8-14-12-2-7-6-9-11-13-3-10-15-4;96.91
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;3;13-1-10-7-15-5-3-4-6-12-14-8-11-2-9-13;119.44;14-10-4-6-15-2-7-9-13-8-3-11-5-1-12-14;111.6
