Configuration;Iteration;The initial best way;Its distance;The best way after algorithm;Its distance
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;2;1-11-14-10-7-5-9-13-2-4-6-3-12-15-8-1;102.11;12-10-7-5-1-11-9-13-8-14-6-3-2-4-15-12;91.49
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;3;10-5-9-1-8-7-11-13-3-2-6-12-14-15-4-10;99.7;1-5-13-15-7-2-9-3-6-4-12-10-14-8-11-1;78.09
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;4;8-1-10-5-13-2-12-9-3-4-14-7-15-6-11-8;109.84;10-9-5-13-1-11-3-12-7-4-15-2-6-14-8-10;85.44
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;1;5-3-11-13-14-8-12-2-6-9-7-15-10-4-1-5;100.47;10-8-1-11-9-13-5-12-14-2-4-15-3-6-7-10;91.38
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;2;1-11-12-15-7-8-10-4-2-3-6-14-9-5-13-1;90.12;11-15-4-8-13-5-3-6-10-14-7-12-2-9-1-11;89.88
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;3;8-1-11-13-5-4-2-7-14-6-12-15-10-9-3-8;93.75;6-8-13-7-4-3-9-5-11-1-14-10-15-12-2-6;87.3
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;4;12-5-13-9-6-7-3-8-11-1-2-15-4-14-10-12;101.35;3-12-8-5-1-11-13-7-10-4-14-15-2-9-6-3;92.38
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;1;5-9-3-14-1-10-12-2-6-7-4-15-13-8-11-5;95.75;8-9-5-11-13-10-12-2-6-7-4-15-3-14-1-8;94.24
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;2;2-14-13-11-9-8-3-5-1-15-10-7-6-12-4-2;114.78;2-12-7-5-11-13-9-3-10-1-6-4-15-14-8-2;101.3
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;3;9-5-11-10-12-4-8-3-14-6-2-15-7-1-13-9;108.15;9-13-14-8-7-10-4-15-12-2-5-6-3-1-11-9;98.97
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;4;9-13-11-1-10-8-14-4-2-7-12-5-3-15-6-9;97.36;14-1-8-5-13-3-9-6-11-7-12-2-4-15-10-14;89.07
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP10 PC-1;1;15-10-8-4-12-2-6-11-13-5-3-7-14-1-9-15;100.78;15-10-8-4-12-2-6-11-13-5-3-7-14-1-9-15;100.78
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP10 PC-1;2;4-14-15-12-11-10-7-6-9-2-3-8-13-5-1-4;111.33;4-14-15-12-11-10-7-6-9-2-3-8-13-5-1-4;111.33
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP10 PC-1;3;7-2-6-3-8-11-1-12-10-5-9-13-15-4-14-7;100.97;7-2-6-3-8-11-1-12-10-5-9-13-15-4-14-7;100.97
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP10 PC-1;4;12-10-8-5-13-11-1-9-6-7-15-3-2-14-4-12;86.29;12-10-8-5-13-11-1-9-6-7-15-3-2-14-4-12;86.29
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP10 PC-2;1;5-13-11-9-3-2-4-15-8-7-12-6-14-1-10-5;97.93;5-13-11-9-3-2-4-15-8-7-12-6-14-1-10-5;97.93
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP10 PC-2;2;10-2-12-6-15-14-1-8-7-3-11-9-5-13-4-10;104.97;10-2-12-6-15-14-1-8-7-3-11-9-5-13-4-10;104.97
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP10 PC-2;3;10-15-14-8-1-5-11-4-7-2-9-6-12-3-13-10;100.49;10-15-14-8-1-5-11-4-7-2-9-6-12-3-13-10;100.49
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP10 PC-2;4;5-13-6-8-10-7-2-15-12-4-1-3-14-11-9-5;114.3;1-6-8-4-7-2-12-13-5-9-14-15-10-3-11-1;113.2
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP10 PC-3;1;13-11-2-8-9-5-3-6-10-14-15-12-4-7-1-13;99.26;13-11-2-8-9-5-3-6-10-14-15-12-4-7-1-13;99.26
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP10 PC-3;2;10-14-8-3-7-13-11-1-15-12-2-5-9-6-4-10;103.53;10-14-8-3-7-13-11-1-15-12-2-5-9-6-4-10;103.53
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP10 PC-3;3;3-8-14-1-6-7-15-13-9-12-4-10-2-11-5-3;122.74;4-7-2-1-14-12-5-6-15-10-8-13-11-9-3-4;111.82
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP10 PC-3;4;2-15-9-5-7-14-12-8-10-4-1-11-13-6-3-2;105.09;2-15-9-5-7-14-12-8-10-4-1-11-13-6-3-2;105.09
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP50 PC-1;1;3-7-2-12-10-4-13-1-8-15-14-11-5-9-6-3;88.92;3-7-2-12-10-4-13-1-8-15-14-11-5-9-6-3;88.92
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP50 PC-1;2;5-13-1-11-7-6-15-10-12-8-4-14-2-9-3-5;102.58;3-12-6-15-10-9-5-13-11-8-14-1-4-7-2-3;94.24
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP50 PC-1;3;10-4-2-7-15-12-3-5-8-11-13-9-14-1-6-10;106.47;10-4-2-7-15-12-3-5-8-11-13-9-14-1-6-10;106.47
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP50 PC-1;4;4-3-8-11-1-5-9-2-13-6-10-14-15-12-7-4;105.44;15-3-9-12-7-5-11-8-1-13-6-14-4-2-10-15;105.16
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP50 PC-2;1;10-4-15-6-2-14-11-9-3-7-13-8-5-1-12-10;113.35;2-12-15-11-10-4-7-14-3-6-13-1-5-8-9-2;109.78
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP50 PC-2;2;7-12-10-14-9-6-11-4-2-3-5-13-1-8-15-7;97.04;7-12-10-14-9-6-11-4-2-3-5-13-1-8-15-7;97.04
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP50 PC-2;3;5-3-2-12-15-7-4-10-13-8-1-6-14-9-11-5;101.52;5-3-2-12-15-7-4-10-13-8-1-6-14-9-11-5;101.52
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP50 PC-2;4;14-8-13-1-15-7-10-11-2-6-12-3-9-5-4-14;106.13;11-13-9-14-8-3-12-10-4-15-2-7-6-5-1-11;96.87
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP50 PC-3;1;8-5-13-9-3-1-15-10-14-7-2-12-4-6-11-8;96.44;8-5-13-9-3-1-15-10-14-7-2-12-4-6-11-8;96.44
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP50 PC-3;2;15-14-8-11-7-10-13-1-3-6-4-9-5-2-12-15;112.98;15-7-2-10-1-6-12-9-13-5-3-11-8-14-4-15;101.85
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP50 PC-3;3;10-6-3-11-13-5-7-9-1-2-12-4-15-14-8-10;101.78;5-2-15-14-8-4-6-1-10-7-12-3-9-13-11-5;98.66
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP50 PC-3;4;11-3-9-8-1-15-4-7-12-6-2-10-14-13-5-11;84.83;11-3-9-8-1-15-4-7-12-6-2-10-14-13-5-11;84.83
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP100 PC-1;1;14-5-11-13-7-10-15-6-4-2-3-9-12-8-1-14;107.75;7-4-12-8-14-5-11-10-15-2-3-9-6-1-13-7;106.42
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP100 PC-1;2;9-13-1-8-14-7-6-5-11-15-3-10-4-2-12-9;107.46;1-4-10-8-3-6-15-14-9-7-2-12-5-11-13-1;104.13
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP100 PC-1;3;7-12-6-3-5-11-4-10-8-1-9-13-14-15-2-7;91.21;2-12-6-3-5-11-4-10-8-1-9-13-14-7-15-2;90.39
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP100 PC-1;4;9-15-7-4-2-3-6-11-8-10-12-14-5-13-1-9;98.21;15-8-5-11-1-9-13-10-14-7-2-4-3-6-12-15;92.91
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP100 PC-2;1;2-10-3-11-5-13-12-4-7-14-8-1-9-6-15-2;101.03;2-15-9-11-5-13-12-4-7-14-10-8-1-6-3-2;89.5
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP100 PC-2;2;1-11-5-8-13-10-6-12-15-7-9-3-2-14-4-1;102.76;3-10-14-7-4-2-6-15-12-11-1-13-8-9-5-3;99.23
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP100 PC-2;3;11-8-2-4-5-3-6-9-13-1-14-12-7-15-10-11;102.02;11-8-2-4-5-3-6-9-13-1-14-12-7-15-10-11;102.02
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP100 PC-2;4;15-4-14-9-5-13-11-12-10-1-8-3-6-7-2-15;92.74;15-4-14-9-5-13-11-12-10-1-8-3-6-7-2-15;92.74
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP100 PC-3;1;15-8-11-1-5-9-12-7-14-2-3-6-13-4-10-15;98.07;15-11-5-8-14-10-4-3-9-13-1-6-2-12-7-15;84.15
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP100 PC-3;2;7-1-8-6-3-9-13-14-12-2-15-4-5-11-10-7;102.69;1-10-7-6-3-9-13-14-12-2-15-4-8-5-11-1;85.86
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP100 PC-3;3;10-8-14-6-11-5-13-1-15-4-2-12-9-3-7-10;96.95;10-8-14-6-11-5-13-1-15-4-2-12-9-3-7-10;96.95
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP100 PC-3;4;2-3-12-8-9-11-13-6-4-10-5-1-14-7-15-2;110.85;14-13-11-9-3-2-5-4-15-1-8-10-7-12-6-14;105.67
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP10 PC-1;1;6-3-7-13-1-4-14-9-11-5-8-12-10-15-2-6;106.91;6-3-7-13-1-4-14-9-11-5-8-12-10-15-2-6;106.91
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP10 PC-1;2;4-2-6-5-13-11-3-12-7-1-15-10-14-9-8-4;109.12;9-4-11-13-6-15-10-14-8-12-7-2-1-5-3-9;107.39
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP10 PC-1;3;10-14-8-12-2-6-7-9-11-13-3-1-5-4-15-10;101.42;10-14-8-12-2-6-7-9-11-13-3-1-5-4-15-10;101.42
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP10 PC-1;4;15-10-3-11-1-14-5-13-4-12-7-2-9-8-6-15;119.67;11-5-9-3-2-14-12-15-10-4-13-8-1-7-6-11;101.09
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP10 PC-2;1;3-14-10-9-11-8-2-15-4-7-12-5-13-1-6-3;100.74;3-14-10-9-11-8-2-15-4-7-12-5-13-1-6-3;100.74
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP10 PC-2;2;5-4-6-7-15-2-12-10-14-9-1-11-8-13-3-5;109.1;5-4-6-7-15-2-12-10-14-9-1-11-8-13-3-5;109.1
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP10 PC-2;3;11-3-14-7-15-4-10-12-6-9-5-2-8-1-13-11;94.96;11-3-14-7-15-4-10-12-6-9-5-2-8-1-13-11;94.96
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP10 PC-2;4;13-9-3-7-11-1-5-12-8-4-14-10-15-2-6-13;105.35;13-9-3-7-11-1-5-12-8-4-14-10-15-2-6-13;105.35
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP10 PC-3;1;6-1-8-3-5-13-11-12-7-9-15-10-4-14-2-6;106.59;6-1-8-3-5-13-11-12-7-9-15-10-4-14-2-6;106.59
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP10 PC-3;2;2-12-4-5-3-13-8-9-11-1-6-7-15-10-14-2;108.41;8-14-4-7-10-12-6-15-3-1-11-9-13-5-2-8;104.36
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP10 PC-3;3;15-12-4-10-3-6-2-7-11-5-1-13-14-8-9-15;99.92;3-6-2-7-10-9-11-8-5-1-13-14-15-12-4-3;95.9
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP10 PC-3;4;3-1-5-14-7-12-2-4-11-13-8-10-15-6-9-3;98.33;3-1-5-14-7-12-2-4-11-13-8-10-15-6-9-3;98.33
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP50 PC-1;1;12-4-7-8-10-2-6-3-9-13-15-11-5-14-1-12;109.64;4-11-7-8-10-2-6-3-9-5-13-1-14-15-12-4;90.84
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP50 PC-1;2;10-7-2-5-1-9-8-14-12-3-11-13-6-15-4-10;109.11;5-1-9-12-10-14-15-4-8-3-2-6-7-11-13-5;96.88
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP50 PC-1;3;10-14-3-6-7-13-2-12-15-8-11-9-5-1-4-10;105.92;8-1-13-3-11-5-9-2-7-4-10-6-15-14-12-8;99.07
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP50 PC-1;4;12-14-13-5-11-1-9-6-10-4-2-3-7-15-8-12;99.15;13-14-12-10-4-9-5-3-6-7-2-15-8-1-11-13;91.59
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP50 PC-2;1;14-9-5-10-1-13-8-11-12-2-3-6-15-4-7-14;103.84;13-11-9-5-12-6-15-7-2-3-14-4-10-8-1-13;89.41
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP50 PC-2;2;4-14-12-2-3-6-7-10-13-5-9-11-1-8-15-4;78.68;4-14-12-2-3-6-7-10-13-5-9-11-1-8-15-4;78.68
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP50 PC-2;3;14-7-15-5-13-12-3-9-6-8-1-11-2-10-4-14;103.7;9-8-1-11-14-13-5-15-2-6-10-4-12-7-3-9;98.85
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP50 PC-2;4;15-14-8-6-3-9-1-2-12-13-5-11-7-4-10-15;96.15;3-6-9-1-13-5-11-12-7-8-2-4-15-14-10-3;90.89
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP50 PC-3;1;5-13-11-10-6-14-2-9-3-7-15-4-12-8-1-5;96.09;10-12-7-4-14-5-11-1-8-2-6-3-15-9-13-10;95.82
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP50 PC-3;2;5-9-3-14-10-4-2-15-12-6-11-13-7-8-1-5;94.46;5-9-3-14-10-4-2-15-12-6-11-13-7-8-1-5;94.46
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP50 PC-3;3;10-4-12-15-9-8-14-7-2-3-6-1-5-13-11-10;91.44;13-3-6-9-2-4-7-15-12-14-10-1-8-5-11-13;77.74
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP50 PC-3;4;4-9-15-8-7-14-10-6-3-5-1-11-13-12-2-4;106.57;10-4-6-9-5-11-12-13-8-1-3-2-15-7-14-10;99.36
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP100 PC-1;1;12-10-7-4-14-6-3-15-1-13-9-5-11-2-8-12;107.58;10-14-1-11-5-8-13-6-9-3-15-2-12-4-7-10;86.09
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP100 PC-1;2;12-9-7-10-2-3-11-13-5-6-14-1-8-4-15-12;105.71;10-7-14-15-12-2-5-1-11-8-6-3-9-13-4-10;91.08
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP100 PC-1;3;8-7-15-14-10-2-6-12-1-9-3-4-11-5-13-8;97.98;2-12-15-4-3-6-13-9-5-11-1-14-10-8-7-2;81.57
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP100 PC-1;4;12-3-8-10-4-7-15-2-14-9-1-13-11-5-6-12;99.4;5-11-8-15-1-10-12-14-4-2-7-3-6-9-13-5;93.34
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP100 PC-2;1;5-13-11-15-12-6-3-14-10-2-7-4-1-9-8-5;98.89;13-7-12-2-3-6-4-8-1-15-14-10-9-5-11-13;89.02
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP100 PC-2;2;7-2-14-6-10-3-12-13-11-1-8-5-9-15-4-7;109.68;13-1-9-3-15-8-11-5-10-14-12-4-7-2-6-13;95.05
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP100 PC-2;3;14-11-2-15-5-1-10-8-13-4-12-7-6-3-9-14;118.94;5-11-9-6-3-7-4-14-13-1-15-10-12-2-8-5;97.2
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP100 PC-2;4;7-12-14-4-10-3-13-9-1-8-5-11-2-15-6-7;105.57;11-5-9-3-13-6-2-7-15-12-14-4-10-1-8-11;80.63
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP100 PC-3;1;13-1-11-4-7-10-15-14-2-6-9-12-3-5-8-13;102.18;6-5-11-1-8-13-9-14-3-10-15-12-4-7-2-6;94.91
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP100 PC-3;2;1-14-10-8-3-15-7-6-12-2-4-9-13-11-5-1;94.91;1-14-10-8-3-15-7-6-12-2-4-9-13-11-5-1;94.91
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP100 PC-3;3;10-1-2-7-14-13-8-5-9-11-3-6-12-4-15-10;104.39;9-1-13-14-10-8-11-5-12-7-4-15-2-6-3-9;78.64
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP100 PC-3;4;3-1-11-2-12-5-13-8-7-6-14-10-15-4-9-3;108.28;4-6-14-2-15-7-10-12-8-13-1-11-5-9-3-4;95.24
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP10 PC-1;1;2-3-13-8-6-5-1-9-11-15-14-10-12-7-4-2;109.13;2-3-13-8-6-5-1-9-11-15-14-10-12-7-4-2;109.13
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP10 PC-1;2;6-2-8-11-7-4-12-15-14-10-9-1-5-13-3-6;94.58;6-2-8-11-7-4-12-15-14-10-9-1-5-13-3-6;94.58
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP10 PC-1;3;9-5-11-13-6-7-1-15-2-4-10-12-8-14-3-9;105.58;9-5-11-13-6-7-1-15-2-4-10-12-8-14-3-9;105.58
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP10 PC-1;4;9-11-8-3-6-2-4-7-14-10-12-15-5-13-1-9;88;9-11-8-3-6-2-4-7-14-10-12-15-5-13-1-9;88
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP10 PC-2;1;14-13-9-1-11-8-5-7-4-3-2-15-10-12-6-14;114.16;10-2-3-6-11-5-14-4-15-12-7-13-1-9-8-10;101.3
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP10 PC-2;2;10-13-15-7-12-2-14-8-5-11-4-3-6-9-1-10;109.97;6-3-13-8-1-10-7-5-11-15-14-4-2-12-9-6;104.78
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP10 PC-2;3;5-3-8-14-10-2-1-11-13-9-7-12-4-15-6-5;102.45;5-3-8-14-10-2-1-11-13-9-7-12-4-15-6-5;102.45
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP10 PC-2;4;5-6-9-13-4-3-7-10-14-8-1-2-12-15-11-5;109.75;2-7-15-8-5-9-6-10-14-13-3-11-1-12-4-2;107.65
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP10 PC-3;1;14-7-12-13-5-9-10-11-8-1-3-6-2-15-4-14;92.61;1-11-13-15-12-2-3-9-5-4-14-10-7-6-8-1;87.54
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP10 PC-3;2;2-12-4-9-14-7-11-13-1-8-5-10-15-6-3-2;104.43;9-5-8-3-6-12-10-14-7-15-1-11-13-4-2-9;96.26
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP10 PC-3;3;7-15-3-1-2-12-6-9-10-14-5-11-13-4-8-7;116.45;6-4-10-7-8-2-3-15-12-1-14-13-5-11-9-6;109.84
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP10 PC-3;4;15-8-14-1-11-13-10-12-3-7-6-2-5-9-4-15;108.92;4-7-15-14-5-2-9-13-1-8-11-10-3-6-12-4;102.68
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP50 PC-1;1;6-2-11-5-13-3-15-12-10-14-8-1-7-4-9-6;96.59;14-4-5-13-1-8-15-12-10-7-2-6-9-3-11-14;89.82
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP50 PC-1;2;10-4-12-7-1-5-9-8-14-15-3-11-13-6-2-10;101.07;10-14-1-12-2-6-15-7-4-5-13-11-9-3-8-10;89.76
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP50 PC-1;3;7-15-2-14-9-1-13-11-5-4-12-6-3-10-8-7;101.23;9-3-15-10-14-4-7-13-12-2-6-8-11-1-5-9;94.44
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP50 PC-1;4;8-2-14-4-10-12-15-13-3-9-6-7-1-5-11-8;105.71;8-13-11-15-7-14-10-4-9-5-1-2-12-6-3-8;96.42
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP50 PC-2;1;11-8-1-5-4-15-12-14-7-9-13-2-10-6-3-11;111.6;9-3-12-4-2-10-14-1-7-15-6-8-11-5-13-9;94.36
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP50 PC-2;2;3-15-13-9-6-8-4-14-10-5-11-1-7-12-2-3;105.93;3-13-1-11-5-9-6-14-12-8-10-15-7-4-2-3;87.74
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP50 PC-2;3;11-14-8-12-6-15-10-4-2-3-9-5-13-7-1-11;100.57;12-7-4-14-15-10-9-11-8-2-6-1-13-5-3-12;97.71
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP50 PC-2;4;4-6-3-5-12-14-10-15-9-11-1-13-2-7-8-4;110.38;5-11-1-9-3-4-15-14-7-6-8-10-12-2-13-5;93.42
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP50 PC-3;1;15-12-14-3-6-2-7-11-10-8-9-1-13-5-4-15;106.62;14-12-15-9-6-1-5-11-8-13-3-2-4-7-10-14;97.73
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP50 PC-3;2;13-9-5-6-3-1-4-10-11-8-14-12-2-7-15-13;104.94;13-5-8-10-6-9-7-12-15-2-3-4-14-1-11-13;90.94
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP50 PC-3;3;9-3-5-8-4-7-15-6-12-10-13-11-1-14-2-9;99.63;9-1-10-14-13-11-5-8-12-7-4-15-2-6-3-9;77.79
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP50 PC-3;4;6-4-9-8-14-15-7-10-12-2-5-1-13-11-3-6;97.32;5-11-13-8-14-15-7-10-12-2-6-3-9-1-4-5;80.96
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP100 PC-1;1;1-14-2-6-3-13-5-4-10-11-8-9-12-15-7-1;110.49;13-1-11-9-3-2-10-8-7-14-4-15-12-6-5-13;82.55
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP100 PC-1;2;15-1-7-10-12-2-6-11-8-14-3-9-13-5-4-15;105.5;2-6-3-9-13-5-10-1-11-14-4-15-8-12-7-2;84.88
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP100 PC-1;3;11-2-7-15-12-4-10-5-6-3-9-13-1-8-14-11;90.78;6-2-12-14-8-9-13-5-11-1-7-15-10-4-3-6;78.07
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP100 PC-1;4;4-2-7-8-14-1-5-11-10-12-15-6-13-3-9-4;110.68;11-10-12-4-7-15-2-3-9-6-14-8-13-1-5-11;84.84
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP100 PC-2;1;14-5-11-1-4-7-8-13-10-9-3-2-6-12-15-14;102.45;12-2-3-6-9-1-11-5-7-10-14-13-8-15-4-12;88.66
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP100 PC-2;2;8-3-9-5-1-11-14-10-12-15-7-6-13-2-4-8;101.83;14-2-6-4-15-12-7-10-9-3-13-5-11-1-8-14;76.44
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP100 PC-2;3;13-11-3-4-10-15-14-6-9-1-5-8-7-12-2-13;106;13-11-1-14-4-10-7-8-12-15-2-6-9-3-5-13;77.64
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP100 PC-2;4;6-13-11-9-2-15-4-12-7-3-10-14-8-1-5-6;94.62;11-9-6-3-2-15-4-12-7-14-10-8-1-13-5-11;61.74
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP100 PC-3;1;6-7-2-4-14-1-5-9-13-8-11-10-12-15-3-6;96.43;7-2-6-3-1-11-5-9-13-8-4-14-10-15-12-7;70.54
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP100 PC-3;2;8-15-11-1-5-13-3-12-4-7-9-6-2-14-10-8;97.52;13-11-5-9-6-3-7-15-12-2-4-10-1-8-14-13;75.37
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP100 PC-3;3;13-6-3-10-11-5-9-1-14-4-12-2-15-7-8-13;100.07;12-6-3-9-8-14-15-2-7-10-5-13-11-1-4-12;82.06
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP100 PC-3;4;4-14-6-13-8-15-1-5-9-2-12-7-3-11-10-4;117.59;6-14-2-12-4-15-10-7-8-13-1-11-5-9-3-6;76.18
CR-0 PN-30 G-1 PP-15 SM-1 MAX_STEP10 PC-1;1;3-2-15-10-4-12-14-9-7-8-13-11-5-1-6-3;97.66;3-2-15-10-4-12-14-9-7-8-13-11-5-1-6-3;97.66
CR-0 PN-30 G-1 PP-15 SM-1 MAX_STEP10 PC-1;2;8-10-2-11-14-4-1-12-7-15-13-5-9-6-3-8;112.07;8-14-4-1-5-11-3-7-15-2-12-9-6-10-13-8;108.93
